epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.80427,4.75497,10.9666,2.10109,0,0,0,0,4.43392,5.76236,1.4936,2.222e-05,2.222e-05,2.222e-05
2,11.2887,4.40343,10.2228,1.94306,0,0,0,0,4.45349,5.78752,1.51716,5.00506e-05,5.00506e-05,5.00506e-05
3,12.3495,4.65109,10.9129,2.06265,0,0,0,0,4.45293,5.79691,1.53775,7.12818e-05,7.12818e-05,7.12818e-05
4,13.4258,4.55023,10.7326,1.99874,0,0,0,0,4.3934,5.52368,1.42859,8.59136e-05,8.59136e-05,8.59136e-05
5,14.6011,4.15827,8.07193,1.55348,0,0,0,0,4.15463,5.01672,1.11499,9.39462e-05,9.39462e-05,9.39462e-05
6,15.798,3.88782,6.10286,1.17684,0,0,0,0,4.371,4.90301,0.99671,9.53793e-05,9.53793e-05,9.53793e-05
7,17.005,3.91853,5.75962,1.06739,0,0,0,0,4.35664,4.8512,0.9676,9.02132e-05,9.02132e-05,9.02132e-05
8,18.1875,3.89634,5.38277,1.01768,0,0,0,0,4.15635,4.76198,0.95579,7.84477e-05,7.84477e-05,7.84477e-05
9,20.0874,3.74288,5.16696,1.00725,0,0,0,0,4.03319,4.71132,0.95423,6.00829e-05,6.00829e-05,6.00829e-05
10,21.2741,3.72392,4.9917,0.99353,0,0,0,0,3.96178,4.67883,0.95055,3.51187e-05,3.51187e-05,3.51187e-05
