epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3222,4.1438,4.02669,1.27882,0.02126,0.07455,0.0236,0.00747,3.43815,3.16917,0.93869,0.000296553,0.000296553,0.000296553
2,24.8225,3.2708,2.16394,0.90252,0.04224,0.18533,0.07744,0.02661,3.0684,2.61841,0.88588,0.000579768,0.000579768,0.000579768
3,32.2002,2.98171,1.84064,0.86394,0.59703,0.10437,0.11962,0.04084,2.98993,1.95558,0.87358,0.000842985,0.000842985,0.000842985
4,39.5668,2.82906,1.6526,0.84064,0.34343,0.19846,0.17632,0.0637,2.63086,1.54647,0.81588,0.000819009,0.000819009,0.000819009
5,47.7092,2.70266,1.52668,0.82403,0.37585,0.23789,0.21271,0.07634,2.55428,1.46526,0.80512,0.000789012,0.000789012,0.000789012
6,54.962,2.62873,1.42809,0.81589,0.41746,0.30678,0.27784,0.1012,2.50701,1.29664,0.8024,0.000759015,0.000759015,0.000759015
7,62.3465,2.56571,1.37118,0.80948,0.4453,0.34276,0.30459,0.11231,2.46286,1.21542,0.79045,0.000729018,0.000729018,0.000729018
8,69.7037,2.49237,1.30487,0.79894,0.48173,0.33787,0.32174,0.12859,2.3425,1.13257,0.78871,0.000699021,0.000699021,0.000699021
9,77.2892,2.45181,1.28367,0.80024,0.48092,0.37853,0.34263,0.13861,2.30986,1.118,0.7846,0.000669024,0.000669024,0.000669024
10,84.812,2.38189,1.22748,0.79117,0.50856,0.38676,0.35962,0.14185,2.30491,1.1025,0.78084,0.000639027,0.000639027,0.000639027
11,92.3627,2.36994,1.20706,0.78847,0.55188,0.41095,0.4057,0.16733,2.19536,1.0573,0.773,0.00060903,0.00060903,0.00060903
12,99.7307,2.37538,1.19032,0.787,0.56534,0.43698,0.42354,0.17907,2.18019,1.05468,0.77133,0.000579033,0.000579033,0.000579033
13,107.054,2.33037,1.16343,0.78332,0.58099,0.43478,0.43794,0.18496,2.11656,1.01815,0.76789,0.000549036,0.000549036,0.000549036
14,114.325,2.24582,1.11763,0.78191,0.56412,0.41528,0.41391,0.17428,2.19996,1.01302,0.77222,0.000519039,0.000519039,0.000519039
15,121.802,2.23964,1.10853,0.78176,0.62463,0.45865,0.4655,0.20106,2.09386,0.95792,0.76494,0.000489042,0.000489042,0.000489042
16,129.153,2.24105,1.09868,0.77643,0.61922,0.46303,0.47997,0.20699,2.05295,0.9625,0.76252,0.000459045,0.000459045,0.000459045
17,136.642,2.1931,1.07908,0.77629,0.59999,0.47208,0.47136,0.21389,2.03444,0.94166,0.76137,0.000429048,0.000429048,0.000429048
18,143.881,2.17846,1.05386,0.77432,0.6209,0.48343,0.49083,0.21854,2.05111,0.93574,0.76092,0.000399051,0.000399051,0.000399051
19,151.262,2.15036,1.0376,0.77261,0.62963,0.4895,0.49817,0.2249,1.98442,0.90817,0.75702,0.000369054,0.000369054,0.000369054
20,158.58,2.14668,1.03497,0.77059,0.65874,0.49666,0.51839,0.23005,1.97238,0.89893,0.7551,0.000339057,0.000339057,0.000339057
21,169.339,1.92621,0.95393,0.78083,0.62001,0.49867,0.50218,0.21836,1.98013,0.9081,0.75701,0.00030906,0.00030906,0.00030906
22,176.276,1.89609,0.93577,0.77578,0.65946,0.51745,0.53158,0.23763,1.97529,0.8874,0.75626,0.000279063,0.000279063,0.000279063
23,183.154,1.87794,0.92525,0.7788,0.64971,0.51941,0.53366,0.2355,1.94984,0.88059,0.75339,0.000249066,0.000249066,0.000249066
24,190.228,1.8538,0.91012,0.77539,0.67035,0.51132,0.54601,0.24706,1.90065,0.85949,0.75245,0.000219069,0.000219069,0.000219069
25,197.164,1.82238,0.88551,0.77427,0.65661,0.54338,0.54914,0.2534,1.8904,0.85309,0.75255,0.000189072,0.000189072,0.000189072
26,203.949,1.8213,0.88404,0.77116,0.66994,0.55631,0.55883,0.25591,1.88393,0.84565,0.75149,0.000159075,0.000159075,0.000159075
27,210.804,1.80851,0.88078,0.771,0.68442,0.55491,0.56952,0.25579,1.8722,0.83708,0.75116,0.000129078,0.000129078,0.000129078
28,217.644,1.78853,0.86563,0.77094,0.69539,0.55436,0.57949,0.26348,1.83983,0.82767,0.74979,9.9081e-05,9.9081e-05,9.9081e-05
29,224.438,1.75973,0.85652,0.76973,0.68215,0.56325,0.57603,0.26324,1.84854,0.82946,0.74936,6.9084e-05,6.9084e-05,6.9084e-05
30,231.129,1.76071,0.85084,0.7677,0.6923,0.57487,0.58988,0.27245,1.81839,0.81624,0.74878,3.9087e-05,3.9087e-05,3.9087e-05
