epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78059,4.3783,10.2791,1.93569,0,0,0,0,4.43679,5.77823,1.50373,3.333e-05,3.333e-05,3.333e-05
2,9.22073,4.44393,10.3632,1.98887,0,0,0,0,4.45072,5.79948,1.5351,7.00708e-05,7.00708e-05,7.00708e-05
3,11.0315,4.35586,9.9873,1.91702,0,0,0,0,4.25979,5.39861,1.37069,9.80124e-05,9.80124e-05,9.80124e-05
4,12.6993,3.83404,6.87329,1.34003,0,0,0,0,4.32446,4.85893,0.98906,0.000117155,0.000117155,0.000117155
5,14.365,3.80541,5.54863,1.05533,0,0,0,0,4.31248,4.7984,0.96155,0.000127498,0.000127498,0.000127498
6,16.0126,3.71438,5.05788,0.99513,0,0,0,0,3.9636,4.64866,0.94995,0.000129043,0.000129043,0.000129043
7,18.3946,3.51343,4.62724,0.9635,0,0,0,0,3.96693,4.59367,0.93272,0.000121788,0.000121788,0.000121788
8,20.079,3.43126,4.37025,0.93265,0,0,0,0,3.8084,4.50345,0.91274,0.000105734,0.000105734,0.000105734
9,21.7338,3.33461,4.12666,0.92051,0,0,0,0,3.58834,4.44561,0.90005,8.08808e-05,8.08808e-05,8.08808e-05
10,23.4368,3.29568,3.97516,0.92361,0,0,0,0,3.52492,4.41135,0.89562,4.72286e-05,4.72286e-05,4.72286e-05
