epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7461,4.25331,4.58262,1.41873,0.00124,0.00272,0.00031,7e-05,3.96371,3.90992,1.02651,0.00025452,0.00025452,0.00025452
2,18.8305,3.57351,2.53315,0.95317,0.02562,0.09967,0.03784,0.01302,3.20323,2.99479,0.92668,0.000501032,0.000501032,0.000501032
3,23.8409,3.24427,2.11036,0.89696,0.04238,0.17103,0.06815,0.02369,2.98966,2.47501,0.87467,0.000730145,0.000730145,0.000730145
4,28.8657,3.03061,1.88791,0.86752,0.14335,0.15033,0.09472,0.03063,2.98812,2.12326,0.85883,0.000819009,0.000819009,0.000819009
5,33.8676,2.94523,1.77354,0.85376,0.1888,0.18557,0.12272,0.04725,2.74315,1.9716,0.84084,0.000789012,0.000789012,0.000789012
6,39.5584,2.78838,1.61696,0.83808,0.33402,0.14412,0.15445,0.0554,2.76565,1.70166,0.83511,0.000759015,0.000759015,0.000759015
7,44.5277,2.73495,1.54456,0.83032,0.37128,0.18704,0.19463,0.07383,2.58696,1.71043,0.81844,0.000729018,0.000729018,0.000729018
8,49.4666,2.71165,1.51483,0.82141,0.38583,0.19708,0.18549,0.06622,2.65249,1.50163,0.81088,0.000699021,0.000699021,0.000699021
9,54.418,2.63821,1.4444,0.81752,0.4321,0.25174,0.23678,0.07752,2.61667,1.44625,0.80481,0.000669024,0.000669024,0.000669024
10,59.4673,2.56262,1.37935,0.80721,0.43214,0.31616,0.2833,0.10906,2.47408,1.25734,0.79452,0.000639027,0.000639027,0.000639027
11,64.5159,2.51822,1.35978,0.80714,0.43993,0.33019,0.30278,0.11646,2.36205,1.19872,0.78955,0.00060903,0.00060903,0.00060903
12,69.5157,2.56032,1.34868,0.80254,0.51791,0.34449,0.33987,0.13615,2.28005,1.18076,0.78357,0.000579033,0.000579033,0.000579033
13,74.4746,2.45503,1.31052,0.79991,0.48716,0.34984,0.32682,0.13135,2.32103,1.16369,0.78485,0.000549036,0.000549036,0.000549036
14,79.4821,2.43647,1.27299,0.79528,0.48841,0.37569,0.35016,0.14163,2.25661,1.11636,0.78054,0.000519039,0.000519039,0.000519039
15,84.4447,2.41808,1.24775,0.79563,0.5327,0.38357,0.37684,0.15793,2.22685,1.12055,0.77966,0.000489042,0.000489042,0.000489042
16,89.5221,2.35373,1.22543,0.79483,0.52404,0.39755,0.38356,0.15818,2.22722,1.07314,0.77574,0.000459045,0.000459045,0.000459045
17,94.5407,2.37815,1.21019,0.79063,0.53396,0.3986,0.38368,0.15555,2.23996,1.07928,0.77428,0.000429048,0.000429048,0.000429048
18,99.694,2.35683,1.1912,0.78583,0.54607,0.41378,0.40582,0.16755,2.19349,1.04493,0.77273,0.000399051,0.000399051,0.000399051
19,104.668,2.3773,1.1996,0.78919,0.55802,0.42073,0.41156,0.17486,2.16242,1.00525,0.77093,0.000369054,0.000369054,0.000369054
20,109.669,2.347,1.18642,0.7845,0.56081,0.43553,0.42839,0.1841,2.14416,1.00731,0.76851,0.000339057,0.000339057,0.000339057
21,118.235,2.11901,1.12261,0.7934,0.57772,0.41519,0.41606,0.1764,2.13943,1.00293,0.77149,0.00030906,0.00030906,0.00030906
22,123.051,2.07622,1.09063,0.79049,0.5468,0.4387,0.41994,0.17981,2.13093,1.023,0.76559,0.000279063,0.000279063,0.000279063
23,127.672,2.0334,1.05012,0.78786,0.59262,0.41926,0.42903,0.1845,2.14995,1.02914,0.76785,0.000249066,0.000249066,0.000249066
24,132.383,2.06763,1.05752,0.78649,0.59912,0.43527,0.4384,0.19029,2.08646,0.99344,0.76503,0.000219069,0.000219069,0.000219069
25,137.061,2.00268,1.02861,0.78654,0.58605,0.4539,0.45384,0.19652,2.07659,0.96516,0.7637,0.000189072,0.000189072,0.000189072
26,141.754,2.00884,1.02519,0.78517,0.5866,0.45409,0.45837,0.19827,2.07319,0.96606,0.76512,0.000159075,0.000159075,0.000159075
27,146.41,1.97598,1.00308,0.78298,0.59343,0.45198,0.45593,0.20064,2.05377,0.962,0.76198,0.000129078,0.000129078,0.000129078
28,151.071,1.96466,0.99947,0.78172,0.59113,0.46581,0.46043,0.20283,2.0518,0.94846,0.76193,9.9081e-05,9.9081e-05,9.9081e-05
29,155.914,1.94453,0.99445,0.78344,0.60034,0.47023,0.46634,0.20981,2.01015,0.93582,0.76079,6.9084e-05,6.9084e-05,6.9084e-05
30,160.583,1.92479,0.97582,0.77822,0.58316,0.47125,0.46886,0.20873,2.01758,0.93813,0.76081,3.9087e-05,3.9087e-05,3.9087e-05
