epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89304,4.21981,7.45464,1.41155,0,0,0,0,3.95765,4.55065,0.94779,0.00034441,0.00034441,0.00034441
2,10.557,3.52705,4.05521,0.94145,0.00729,0.13089,0.02141,0.00636,3.38397,3.54464,0.88197,0.000630637,0.000630637,0.000630637
3,13.3476,3.28273,3.40844,0.899,0.57726,0.02464,0.03999,0.01658,3.20848,3.12344,0.87802,0.000846471,0.000846471,0.000846471
4,16.0028,3.12724,3.13966,0.87288,0.39096,0.07545,0.13543,0.04279,3.31619,2.58038,0.88024,0.000781033,0.000781033,0.000781033
5,18.6626,2.96947,2.74241,0.85951,0.39372,0.17483,0.19656,0.07757,2.913,2.27607,0.84002,0.000671044,0.000671044,0.000671044
6,21.2782,2.89347,2.59168,0.84544,0.41973,0.22784,0.23315,0.09215,2.75226,2.14943,0.81399,0.000561055,0.000561055,0.000561055
7,23.9751,2.83935,2.41112,0.84471,0.48563,0.23834,0.27252,0.11658,2.65427,2.00396,0.80742,0.000451066,0.000451066,0.000451066
8,26.6758,2.73076,2.29108,0.83623,0.42874,0.33226,0.30927,0.13302,2.67609,1.73139,0.80338,0.000341077,0.000341077,0.000341077
9,29.9151,2.78189,2.31688,0.82645,0.46523,0.36381,0.34553,0.13922,2.62383,1.60385,0.79832,0.000231088,0.000231088,0.000231088
10,32.5004,2.65608,2.18299,0.83087,0.47617,0.39195,0.37461,0.15021,2.53587,1.56632,0.79254,0.000121099,0.000121099,0.000121099
