epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.458,4.12759,4.22354,1.32825,0.01138,0.03445,0.00766,0.00244,3.59903,3.54345,0.97783,0.000295026,0.000295026,0.000295026
2,22.6852,3.3234,2.2683,0.91571,0.03291,0.13582,0.04505,0.0142,3.12676,2.95071,0.89984,0.000578291,0.000578291,0.000578291
3,28.8281,3.12053,1.96163,0.87473,0.05686,0.21162,0.08344,0.02622,3.04785,2.43137,0.86244,0.000841559,0.000841559,0.000841559
4,34.9996,2.92454,1.75431,0.85201,0.44474,0.16698,0.13818,0.04942,2.74662,1.95009,0.82736,0.000819009,0.000819009,0.000819009
5,41.8062,2.78852,1.62693,0.83624,0.32528,0.15968,0.16531,0.05813,2.79082,1.82679,0.82936,0.000789012,0.000789012,0.000789012
6,47.8391,2.72572,1.53163,0.81896,0.47529,0.22929,0.23796,0.09175,2.4746,1.45329,0.80178,0.000759015,0.000759015,0.000759015
7,54.1189,2.5921,1.44595,0.81549,0.47785,0.27363,0.28428,0.11294,2.39925,1.33831,0.79399,0.000729018,0.000729018,0.000729018
8,60.2612,2.53704,1.37966,0.80889,0.49573,0.27853,0.29288,0.1155,2.46973,1.33903,0.79767,0.000699021,0.000699021,0.000699021
9,66.5401,2.49699,1.3347,0.80039,0.49239,0.34859,0.33355,0.13491,2.31014,1.1747,0.78509,0.000669024,0.000669024,0.000669024
10,72.7367,2.47487,1.30132,0.79847,0.49317,0.37881,0.35934,0.14579,2.23398,1.10561,0.77923,0.000639027,0.000639027,0.000639027
11,78.9474,2.42352,1.2626,0.79601,0.50045,0.38189,0.37017,0.1428,2.30205,1.13133,0.77691,0.00060903,0.00060903,0.00060903
12,85.002,2.40308,1.24669,0.79288,0.53709,0.39252,0.38087,0.15707,2.2044,1.08698,0.77305,0.000579033,0.000579033,0.000579033
13,91.0589,2.33877,1.20583,0.78882,0.55502,0.40106,0.40851,0.16301,2.24686,1.08235,0.77429,0.000549036,0.000549036,0.000549036
14,97.2801,2.35368,1.1926,0.78455,0.5441,0.42395,0.41197,0.17415,2.19231,1.05196,0.76927,0.000519039,0.000519039,0.000519039
15,103.467,2.34009,1.17695,0.78657,0.56868,0.42076,0.42427,0.17052,2.20741,1.04251,0.77015,0.000489042,0.000489042,0.000489042
16,109.787,2.29489,1.14793,0.78053,0.54991,0.45263,0.44742,0.19568,2.08345,0.98743,0.76683,0.000459045,0.000459045,0.000459045
17,115.809,2.23139,1.11595,0.779,0.56959,0.4577,0.44244,0.18811,2.13287,0.9846,0.76668,0.000429048,0.000429048,0.000429048
18,122.085,2.26976,1.12885,0.77878,0.57091,0.47185,0.46695,0.19977,2.074,0.98805,0.76285,0.000399051,0.000399051,0.000399051
19,128.259,2.21718,1.1008,0.77704,0.58193,0.49189,0.48207,0.21249,2.03231,0.96217,0.76275,0.000369054,0.000369054,0.000369054
20,134.377,2.20199,1.08855,0.77495,0.57963,0.47629,0.46625,0.20494,2.03621,0.95218,0.76167,0.000339057,0.000339057,0.000339057
21,144.048,1.96821,1.00974,0.78403,0.57606,0.47394,0.46106,0.19517,2.06354,0.97214,0.75961,0.00030906,0.00030906,0.00030906
22,149.9,1.96352,0.99689,0.78337,0.60275,0.46739,0.4726,0.20812,2.04779,0.95255,0.76177,0.000279063,0.000279063,0.000279063
23,155.604,1.94615,0.99252,0.7801,0.59764,0.48814,0.48291,0.21516,1.9879,0.92068,0.75732,0.000249066,0.000249066,0.000249066
24,161.403,1.9267,0.97186,0.78023,0.59423,0.48581,0.48346,0.21637,2.00275,0.92713,0.75827,0.000219069,0.000219069,0.000219069
25,167.143,1.93441,0.96235,0.77531,0.61784,0.49026,0.49767,0.22272,1.97759,0.91968,0.75676,0.000189072,0.000189072,0.000189072
26,173.011,1.87046,0.93243,0.77347,0.64168,0.48748,0.50808,0.22718,1.93195,0.89096,0.75464,0.000159075,0.000159075,0.000159075
27,178.934,1.85497,0.92154,0.77624,0.61874,0.51639,0.51789,0.2305,1.92768,0.88736,0.75485,0.000129078,0.000129078,0.000129078
28,184.635,1.8389,0.916,0.7768,0.63724,0.50706,0.52237,0.23895,1.93219,0.88796,0.75465,9.9081e-05,9.9081e-05,9.9081e-05
29,190.56,1.81709,0.90846,0.7748,0.62685,0.51976,0.52721,0.24232,1.90405,0.87475,0.75369,6.9084e-05,6.9084e-05,6.9084e-05
30,196.529,1.83734,0.91256,0.77385,0.64684,0.50595,0.52431,0.23984,1.8961,0.8688,0.7535,3.9087e-05,3.9087e-05,3.9087e-05
