epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9573,4.7038,5.65657,1.85578,0,0,0,0,3.97689,4.51441,1.30395,8.181e-05,8.181e-05,8.181e-05
2,13.8769,4.39556,4.60176,1.3336,0,0,0,0,4.44796,4.28116,1.08166,0.000167011,0.000167011,0.000167011
3,16.4545,3.94642,3.48605,1.05959,0.00404,0.00732,0.00097,0.00027,3.71089,3.95951,1.00401,0.000246212,0.000246212,0.000246212
4,19.1751,3.70626,2.77539,0.98033,0.02075,0.04767,0.01187,0.00346,3.43019,3.67754,0.94885,0.000319414,0.000319414,0.000319414
5,21.9505,3.50533,2.45701,0.94225,0.0217,0.08502,0.03104,0.00967,3.3103,3.17663,0.93384,0.000386616,0.000386616,0.000386616
6,24.6586,3.3146,2.2383,0.92462,0.0263,0.10228,0.03375,0.01034,3.20836,3.13044,0.90625,0.000447819,0.000447819,0.000447819
7,27.3992,3.3272,2.17274,0.90471,0.03342,0.13913,0.04686,0.01426,3.11367,2.90748,0.92014,0.000503022,0.000503022,0.000503022
8,30.1113,3.14957,2.02196,0.89151,0.04067,0.1842,0.06731,0.02203,3.02619,2.77326,0.8924,0.000552227,0.000552227,0.000552227
9,32.8407,3.16993,2.02392,0.8867,0.04459,0.18218,0.07357,0.02606,3.00937,2.64643,0.87437,0.000595431,0.000595431,0.000595431
10,35.5082,3.0926,1.92679,0.87719,0.04606,0.192,0.06998,0.023,3.00111,2.62138,0.86702,0.000632637,0.000632637,0.000632637
11,38.1499,3.00096,1.86787,0.87269,0.05175,0.21169,0.09004,0.03382,2.87552,2.31663,0.85184,0.00060903,0.00060903,0.00060903
12,40.8839,2.94344,1.81328,0.86567,0.3812,0.11801,0.10851,0.0394,2.90869,2.09411,0.85994,0.000579033,0.000579033,0.000579033
13,43.6015,2.87306,1.7741,0.86059,0.50149,0.09456,0.12091,0.04645,2.87703,1.91116,0.85141,0.000549036,0.000549036,0.000549036
14,46.2714,2.93144,1.7647,0.8475,0.41934,0.11571,0.12751,0.04822,2.76956,1.88454,0.83617,0.000519039,0.000519039,0.000519039
15,48.9603,2.85224,1.70887,0.84947,0.41258,0.15119,0.13689,0.0519,2.7082,1.78734,0.83364,0.000489042,0.000489042,0.000489042
16,51.6765,2.85112,1.66421,0.84233,0.33845,0.15844,0.15449,0.05778,2.669,1.75449,0.82887,0.000459045,0.000459045,0.000459045
17,54.4063,2.72844,1.61503,0.83332,0.4627,0.14581,0.16004,0.06227,2.65475,1.71568,0.82454,0.000429048,0.000429048,0.000429048
18,57.0572,2.78803,1.6071,0.83262,0.40828,0.18008,0.17884,0.06725,2.60773,1.59523,0.82114,0.000399051,0.000399051,0.000399051
19,59.7809,2.68842,1.56394,0.82978,0.34955,0.17469,0.17588,0.07041,2.60181,1.52344,0.81932,0.000369054,0.000369054,0.000369054
20,62.4692,2.74463,1.57028,0.82557,0.3428,0.17362,0.18055,0.07168,2.56633,1.61696,0.81969,0.000339057,0.000339057,0.000339057
21,68.337,2.60205,1.56407,0.84057,0.34298,0.16336,0.17748,0.06697,2.6544,1.53279,0.82294,0.00030906,0.00030906,0.00030906
22,70.9408,2.428,1.46312,0.83589,0.32591,0.18631,0.18959,0.06781,2.70122,1.48636,0.8322,0.000279063,0.000279063,0.000279063
23,73.5513,2.42965,1.44026,0.83533,0.35728,0.22249,0.20555,0.08046,2.52303,1.45215,0.81136,0.000249066,0.000249066,0.000249066
24,76.139,2.37909,1.40467,0.82691,0.41362,0.22839,0.22433,0.08525,2.52712,1.42035,0.81024,0.000219069,0.000219069,0.000219069
25,78.7525,2.39632,1.44547,0.83156,0.39006,0.25063,0.22652,0.08697,2.48187,1.36534,0.80598,0.000189072,0.000189072,0.000189072
26,81.3237,2.30561,1.37925,0.82653,0.38532,0.26341,0.2358,0.08912,2.48247,1.32215,0.80419,0.000159075,0.000159075,0.000159075
27,83.921,2.3009,1.3647,0.83112,0.3907,0.27289,0.24684,0.09452,2.43847,1.29595,0.80257,0.000129078,0.000129078,0.000129078
28,86.4976,2.33063,1.37251,0.81973,0.39852,0.28064,0.24569,0.09326,2.45648,1.30832,0.80066,9.9081e-05,9.9081e-05,9.9081e-05
29,89.0646,2.38406,1.37973,0.81329,0.40385,0.28431,0.25728,0.10017,2.4236,1.28066,0.79944,6.9084e-05,6.9084e-05,6.9084e-05
30,91.6962,2.31866,1.35747,0.8202,0.39827,0.28554,0.25934,0.10123,2.41345,1.2644,0.79987,3.9087e-05,3.9087e-05,3.9087e-05
