epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3102,3.86577,5.81217,1.20864,0.00417,0.0889,0.01389,0.00472,3.32894,3.70899,0.89443,0.000364455,0.000364455,0.000364455
2,16.1844,3.19907,3.22863,0.89627,0.37808,0.06748,0.12519,0.04552,3.09668,2.69072,0.84916,0.000662044,0.000662044,0.000662044
3,21.1462,3.03417,2.68706,0.85417,0.53795,0.11366,0.17166,0.06797,2.98721,2.65403,0.83454,0.000886308,0.000886308,0.000886308
4,25.623,2.80572,2.32578,0.83811,0.39716,0.33294,0.27883,0.10876,2.71184,1.70386,0.80859,0.000781033,0.000781033,0.000781033
5,30.5612,2.72975,2.13691,0.83126,0.50819,0.37444,0.34418,0.13374,2.63584,1.68269,0.7919,0.000671044,0.000671044,0.000671044
6,35.4438,2.65113,1.97497,0.81935,0.46578,0.42507,0.38537,0.1516,2.51831,1.47159,0.78607,0.000561055,0.000561055,0.000561055
7,40.7717,2.59962,1.82759,0.80999,0.54266,0.45047,0.40482,0.16956,2.5323,1.443,0.78965,0.000451066,0.000451066,0.000451066
8,45.4451,2.54098,1.73232,0.79919,0.60371,0.49275,0.48146,0.19858,2.35661,1.30835,0.77685,0.000341077,0.000341077,0.000341077
9,50.1696,2.43316,1.61296,0.79775,0.60824,0.48296,0.49311,0.21096,2.30996,1.24804,0.76937,0.000231088,0.000231088,0.000231088
10,54.9771,2.4158,1.59823,0.79467,0.5918,0.51049,0.50244,0.21243,2.33981,1.24076,0.77208,0.000121099,0.000121099,0.000121099
