epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80473,4.26735,9.95583,1.98624,0,0,0,0,4.43164,5.75082,1.48026,0,0,0
2,10.1735,4.54971,10.6833,2.04501,0,0,0,0,4.42969,5.75247,1.48718,1.00101e-05,1.00101e-05,1.00101e-05
3,10.8118,4.01022,9.3146,1.83923,0,0,0,0,4.44014,5.76722,1.49577,1.78204e-05,1.78204e-05,1.78204e-05
4,11.4838,4.28188,10.2477,1.91456,0,0,0,0,4.44105,5.77605,1.50351,2.3431e-05,2.3431e-05,2.3431e-05
5,12.0844,4.63473,10.4939,2.02167,0,0,0,0,4.44924,5.78309,1.5119,2.68418e-05,2.68418e-05,2.68418e-05
6,12.704,4.02457,9.68371,1.8938,0,0,0,0,4.45729,5.79054,1.52131,2.80528e-05,2.80528e-05,2.80528e-05
7,13.3041,4.22915,9.84977,1.86981,0,0,0,0,4.45851,5.80045,1.5287,2.7064e-05,2.7064e-05,2.7064e-05
8,13.9052,4.10627,9.61567,1.86654,0,0,0,0,4.45526,5.80362,1.53669,2.38754e-05,2.38754e-05,2.38754e-05
9,14.5491,4.35464,10.1951,1.93885,0,0,0,0,4.45359,5.80283,1.54252,1.8487e-05,1.8487e-05,1.8487e-05
10,15.1444,4.31667,10.0266,1.98161,0,0,0,0,4.44109,5.79909,1.54758,1.08989e-05,1.08989e-05,1.08989e-05
