epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.41827,4.84537,11.9974,2.04193,0,0,0,0,4.29217,5.71412,1.49467,6.666e-05,6.666e-05,6.666e-05
2,9.36413,4.2663,10.1244,1.78804,0,0,0,0,3.95165,5.00427,1.14698,0.000130131,0.000130131,0.000130131
3,10.3429,3.91825,6.16016,1.15743,0,0,0,0,4.29496,4.89465,0.98936,0.000178204,0.000178204,0.000178204
4,11.2659,3.99297,5.41423,1.0383,0,0,0,0,4.27535,4.82285,0.98225,0.000210879,0.000210879,0.000210879
5,12.2956,3.92847,5.05664,1.02895,0,0,0,0,3.87171,4.58047,0.95458,0.000228155,0.000228155,0.000228155
6,13.2133,3.87842,4.81678,1.02331,0,0,0,0,3.8265,4.48389,0.93136,0.000230033,0.000230033,0.000230033
7,14.1727,3.59222,4.46225,0.96105,0,0,0,0,3.63378,4.3585,0.91655,0.000216512,0.000216512,0.000216512
8,15.0977,3.53855,4.23889,0.94751,0,0,0,0,3.45085,4.26876,0.90735,0.000187592,0.000187592,0.000187592
9,16.0344,3.42985,4.1702,0.94848,0,0,0,0,3.37633,4.16049,0.90994,0.000143275,0.000143275,0.000143275
10,16.9901,3.52618,3.89342,0.92046,9e-05,0.00273,0,0,3.34368,4.08683,0.90678,8.35583e-05,8.35583e-05,8.35583e-05
