epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,157.333,2.34375,5.34202,5.18005,1.89171,0,0,0,0,0,0,0,0,0,2.36462,4.36572,4.80537,1.49534,0,4.44e-05,4.44e-05,4.44e-05
2,201.041,2.16057,4.34822,4.71781,1.51703,0,0.00639,0.04666,0.01591,0.00905,0.00613,0.04473,0.01425,0.00641,1.96569,4.21803,4.66066,1.2037,0,8.6395e-05,8.6395e-05,8.6395e-05
3,228.192,2.22362,3.74951,4.13266,1.22763,0,0.00309,0.04762,0.02263,0.00829,0.00281,0.04329,0.01888,0.00543,2.27259,4.24206,4.61857,1.29364,0,0.000122041,0.000122041,0.000122041
4,260.598,2.20674,3.49016,3.57892,1.13638,0,0.02313,0.03866,0.00683,0.00267,0.02248,0.02952,0.00505,0.00153,2.74021,4.77319,4.59298,1.35058,0,0.000151337,0.000151337,0.000151337
